School Year,State,NCES LEA ID,Local Education Agency (School District) Name,Data Group ID,Data Description,Value,Number of Valid Test Takers,Category
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,397,Asian / Pacific Islander
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,88,2992,Black or African American
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,86,1428,Hispanic/Latino
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,228,Two or more races
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=50,15,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,90.6,4537,White or Caucasian (not Hispanic)
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,9618,All Students
2018-2019,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,73,1489,Children with one or more disabilities (IDEA)
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,58.6,3297,Economically Disadvantaged
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,45,286,Foster care students
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,49,566,Homeless
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,51,564,English Learner
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,73,Asian
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,4,American Indian or Alaska Native
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90,78,Asian / Pacific Islander
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,68.7,3546,Black or African American
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,60,913,Hispanic/Latino
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,79,42,Two or more races
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,5,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,93,292,White or Caucasian (not Hispanic)
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,68.9,4875,All Students
2018-2019,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,51,975,Children with one or more disabilities (IDEA)
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,83.2,114963,Economically Disadvantaged
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,51,623,Foster care students
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,74.3,3412,Homeless
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,75.2,21329,English Learner
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,95.7,6176,Asian
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,78,849,American Indian or Alaska Native
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,95.2,6476,Asian / Pacific Islander
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,81.9,46839,Black or African American
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,86.1,67773,Hispanic/Latino
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,88.4,6210,Two or more races
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,87,300,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90.4,83478,White or Caucasian (not Hispanic)
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,87.2,211625,All Students
2018-2019,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,81,22936,Children with one or more disabilities (IDEA)
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77.2,75372,Economically Disadvantaged
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,39,535,Foster care students
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,63.9,5198,Homeless
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,59.3,6344,English Learner
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,242,American Indian or Alaska Native
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90.8,5572,Asian / Pacific Islander
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,79.6,51021,Black or African American
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,75.9,19510,Hispanic/Latino
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.3,4091,Two or more races
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.6,54648,White or Caucasian (not Hispanic)
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82,135084,All Students
2018-2019,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,62.9,15388,Children with one or more disabilities (IDEA)
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.7,7287,Economically Disadvantaged
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,44,96,Foster care students
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,63,364,Homeless
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,70,1062,English Learner
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,93,1979,Asian
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.6,9531,Asian / Pacific Islander
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,83,354,Black or African American
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,85,387,Hispanic/Latino
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,78.5,4334,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,84,1981,White or Caucasian (not Hispanic)
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.2,12431,All Students
2018-2019,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,63,1380,Children with one or more disabilities (IDEA)
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,72.5,12471,Economically Disadvantaged
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,39,109,Foster care students
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,57,1232,Homeless
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,2360,English Learner
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,325,Asian
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,68,275,American Indian or Alaska Native
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,86,427,Asian / Pacific Islander
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,345,Black or African American
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,73.9,4061,Hispanic/Latino
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,79,537,Two or more races
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,102,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.6,17687,White or Caucasian (not Hispanic)
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.8,23332,All Students
2018-2019,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,56,2443,Children with one or more disabilities (IDEA)
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,78.3,61580,Economically Disadvantaged
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,54,449,Foster care students
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,66.5,4209,Homeless
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,72,6581,English Learner
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,93.9,7436,Asian
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,78,339,American Indian or Alaska Native
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,94.9,7587,Asian / Pacific Islander
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,76.5,23597,Black or African American
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.2,36425,Hispanic/Latino
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,86.9,4237,Two or more races
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,80,151,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,90.8,72513,White or Caucasian (not Hispanic)
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,86.2,144698,All Students
2018-2019,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,69.9,16698,Children with one or more disabilities (IDEA)
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.7,30472,Economically Disadvantaged
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,57,630,Foster care students
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77,1093,Homeless
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,2064,English Learner
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,96,1803,Asian
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82,165,American Indian or Alaska Native
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,95,1845,Asian / Pacific Islander
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77.2,9622,Black or African American
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,83.7,8695,Hispanic/Latino
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.9,3272,Two or more races
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,79,42,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,89.4,56199,White or Caucasian (not Hispanic)
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,87.2,79798,All Students
2018-2019,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,71.4,9910,Children with one or more disabilities (IDEA)
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.2,16161,Economically Disadvantaged
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,72,447,Foster care students
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,75,900,Homeless
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,79,1535,English Learner
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,92,858,Asian
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77,119,American Indian or Alaska Native
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,91,945,Asian / Pacific Islander
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82,1903,Black or African American
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.5,3501,Hispanic/Latino
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,88,1068,Two or more races
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77,87,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,93.3,27707,White or Caucasian (not Hispanic)
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,91.6,35243,All Students
2018-2019,IOWA,,,695,Four-Year Adjusted-Cohort Graduation Rates,76.1,4390,Children with one or more disabilities (IDEA)
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.2,18624,Economically Disadvantaged
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,57,404,Foster care students
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,66,1348,Homeless
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.3,4121,English Learner
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,1012,Asian
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,333,American Indian or Alaska Native
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,1069,Asian / Pacific Islander
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,80,2472,Black or African American
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,83.2,6763,Hispanic/Latino
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,83,1745,Two or more races
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,77,57,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,89.3,24186,White or Caucasian (not Hispanic)
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,87.2,36568,All Students
2018-2019,KANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,78.4,4705,Children with one or more disabilities (IDEA)
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,87.8,26225,Economically Disadvantaged
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,16,245,Homeless
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,1404,English Learner
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,926,Asian
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=90,60,American Indian or Alaska Native
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,993,Asian / Pacific Islander
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,83.2,5629,Black or African American
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,84,2953,Hispanic/Latino
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,1332,Two or more races
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,88,67,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,92.1,39092,White or Caucasian (not Hispanic)
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,90.6,50059,All Students
2018-2019,KENTUCKY,,,695,Four-Year Adjusted-Cohort Graduation Rates,75.5,4656,Children with one or more disabilities (IDEA)
